https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1640304000000,2021-12-24 00:00:00,BTC/USDT,50838.82000000,50881.15000000,50644.48000000,50684.49000000,377.93928000,19190799.46731490,12961
1640217600000,2021-12-23 00:00:00,BTC/USDT,48588.17000000,51375.00000000,47920.42000000,50838.81000000,35192.54046000,1738129830.78145220,1176050
1640131200000,2021-12-22 00:00:00,BTC/USDT,48887.59000000,49576.13000000,48421.87000000,48588.16000000,27004.20220000,1322418595.33372950,949480
1640044800000,2021-12-21 00:00:00,BTC/USDT,46914.17000000,49328.96000000,46630.00000000,48889.88000000,37713.92924000,1827234149.05988020,1119412
1639958400000,2021-12-20 00:00:00,BTC/USDT,46681.24000000,47537.57000000,45558.85000000,46914.16000000,35848.50609000,1663363117.83045340,1076488
1639872000000,2021-12-19 00:00:00,BTC/USDT,46834.47000000,48300.01000000,46406.91000000,46681.23000000,29305.70665000,1384958598.36276990,874827
1639785600000,2021-12-18 00:00:00,BTC/USDT,46133.83000000,47392.37000000,45500.00000000,46834.48000000,25020.05271000,1165205135.70084270,862066
1639699200000,2021-12-17 00:00:00,BTC/USDT,47632.38000000,47995.96000000,45456.00000000,46131.20000000,43104.48870000,2015966349.51613240,1261780
1639612800000,2021-12-16 00:00:00,BTC/USDT,48864.98000000,49436.43000000,47511.00000000,47632.38000000,31949.86739000,1551200654.05274500,1023983
1639526400000,2021-12-15 00:00:00,BTC/USDT,48336.95000000,49500.00000000,46547.00000000,48864.98000000,51629.18100000,2487012309.09154930,1438176
1639440000000,2021-12-14 00:00:00,BTC/USDT,46702.76000000,48700.41000000,46290.00000000,48343.28000000,39955.98445000,1887427362.47409660,1194992
1639353600000,2021-12-13 00:00:00,BTC/USDT,50053.90000000,50189.97000000,45672.75000000,46702.75000000,50869.52093000,2423888500.79030500,1399599
1639267200000,2021-12-12 00:00:00,BTC/USDT,49389.99000000,50777.00000000,48638.00000000,50053.90000000,26017.93421000,1292315883.62455370,863605
1639180800000,2021-12-11 00:00:00,BTC/USDT,47140.54000000,49485.71000000,46751.00000000,49389.99000000,28889.19358000,1397524635.58140210,957390
