https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1640304000000,2021-12-24 00:00:00,ETH/USDT,4111.41000000,4119.89000000,4097.16000000,4099.83000000,4508.92470000,18530180.55172900,9963
1640217600000,2021-12-23 00:00:00,ETH/USDT,3979.51000000,4150.00000000,3893.23000000,4111.41000000,380207.81660000,1525274496.50604700,911905
1640131200000,2021-12-22 00:00:00,ETH/USDT,4014.41000000,4074.87000000,3933.40000000,3979.51000000,303191.80760000,1215914916.52593700,675826
1640044800000,2021-12-21 00:00:00,ETH/USDT,3944.72000000,4063.00000000,3913.21000000,4014.15000000,340826.35530000,1364232642.48810800,799127
1639958400000,2021-12-20 00:00:00,ETH/USDT,3924.14000000,3983.37000000,3753.00000000,3944.73000000,366916.47710000,1416566980.69100100,844070
1639872000000,2021-12-19 00:00:00,ETH/USDT,3959.93000000,4032.43000000,3884.00000000,3924.14000000,306006.32300000,1208752533.59506500,688078
1639785600000,2021-12-18 00:00:00,ETH/USDT,3875.43000000,3996.93000000,3767.01000000,3959.93000000,339593.25430000,1326617546.27658800,740899
1639699200000,2021-12-17 00:00:00,ETH/USDT,3959.11000000,3994.10000000,3700.00000000,3875.42000000,463370.92250000,1789265513.24297500,1052871
1639612800000,2021-12-16 00:00:00,ETH/USDT,4019.54000000,4113.43000000,3942.11000000,3958.11000000,368780.03100000,1489983161.88879600,848885
1639526400000,2021-12-15 00:00:00,ETH/USDT,3858.99000000,4092.22000000,3643.73000000,4019.08000000,542068.05730000,2102151850.11458500,1238234
1639440000000,2021-12-14 00:00:00,ETH/USDT,3781.92000000,3882.74000000,3685.00000000,3858.99000000,395145.74620000,1499985094.81369200,915721
1639353600000,2021-12-13 00:00:00,ETH/USDT,4130.00000000,4142.75000000,3671.45000000,3781.93000000,533467.23070000,2068534029.55110500,1144882
1639267200000,2021-12-12 00:00:00,ETH/USDT,4089.68000000,4173.63000000,3986.25000000,4130.00000000,260535.51570000,1061361793.04127200,591319
1639180800000,2021-12-11 00:00:00,ETH/USDT,3898.31000000,4097.08000000,3828.22000000,4089.37000000,427853.43430000,1711893271.97486100,831899
1639094400000,2021-12-10 00:00:00,ETH/USDT,4105.64000000,4231.08000000,3887.37000000,3897.94000000,563236.56710000,2287155262.15631300,1098758
1639008000000,2021-12-09 00:00:00,ETH/USDT,4436.91000000,4488.00000000,4076.16000000,4105.64000000,462173.71100000,1970732612.69448700,1038790
1638921600000,2021-12-08 00:00:00,ETH/USDT,4306.40000000,4450.49000000,4222.95000000,4436.91000000,429403.93510000,1868281437.56538800,991178
1638835200000,2021-12-07 00:00:00,ETH/USDT,4347.57000000,4425.00000000,4255.92000000,4306.40000000,420749.75100000,1830621575.42694400,986492
1638748800000,2021-12-06 00:00:00,ETH/USDT,4196.44000000,4376.15000000,3921.00000000,4347.59000000,726742.96380000,2991267298.82173000,1447061
1638662400000,2021-12-05 00:00:00,ETH/USDT,4117.25000000,4248.19000000,4031.39000000,4196.44000000,536325.44130000,2224220852.27919700,1088546
1638576000000,2021-12-04 00:00:00,ETH/USDT,4215.01000000,4238.59000000,3503.68000000,4117.25000000,1111773.14510000,4370074804.51323100,2264288
1638489600000,2021-12-03 00:00:00,ETH/USDT,4511.35000000,4654.88000000,4032.50000000,4215.73000000,677974.86590000,2972156867.63741200,1516700
1638403200000,2021-12-02 00:00:00,ETH/USDT,4582.95000000,4634.83000000,4433.00000000,4511.21000000,451861.95450000,2047468326.80265700,1062149
1638316800000,2021-12-01 00:00:00,ETH/USDT,4630.25000000,4778.75000000,4523.99000000,4582.95000000,508198.31050000,2382156066.73727200,1367302
1638230400000,2021-11-30 00:00:00,ETH/USDT,4444.54000000,4753.00000000,4346.36000000,4630.26000000,743024.46620000,3391424543.47238300,1808789
1638144000000,2021-11-29 00:00:00,ETH/USDT,4294.77000000,4458.92000000,4276.89000000,4444.53000000,406881.22840000,1772611136.39245400,947503
1638057600000,2021-11-28 00:00:00,ETH/USDT,4095.29000000,4298.51000000,3964.00000000,4294.78000000,346471.35510000,1421535999.75207900,842343
1637971200000,2021-11-27 00:00:00,ETH/USDT,4041.20000000,4183.66000000,4028.34000000,4095.29000000,275326.52020000,1133169071.35039000,723831
1637884800000,2021-11-26 00:00:00,ETH/USDT,4524.48000000,4551.00000000,3913.00000000,4041.20000000,720245.16120000,2994490664.02184400,1654553
1637798400000,2021-11-25 00:00:00,ETH/USDT,4270.10000000,4550.00000000,4248.27000000,4524.85000000,445868.24340000,1962939107.44774500,1123629
1637712000000,2021-11-24 00:00:00,ETH/USDT,4339.45000000,4373.94000000,4167.65000000,4269.36000000,448727.03060000,1913428104.73721400,990018
1637625600000,2021-11-23 00:00:00,ETH/USDT,4086.28000000,4385.59000000,4059.62000000,4339.44000000,502811.79020000,2125825553.22232300,1098270
1637539200000,2021-11-22 00:00:00,ETH/USDT,4259.70000000,4320.00000000,4022.74000000,4085.97000000,518501.33380000,2167112891.86573300,1162581
1637452800000,2021-11-21 00:00:00,ETH/USDT,4412.17000000,4451.00000000,4242.41000000,4258.31000000,340206.32030000,1479842945.95039700,836925
1637366400000,2021-11-20 00:00:00,ETH/USDT,4294.75000000,4435.88000000,4199.86000000,4412.17000000,365584.57800000,1577172914.21607600,888090
1637280000000,2021-11-19 00:00:00,ETH/USDT,3996.90000000,4308.97000000,3973.01000000,4294.76000000,420045.08970000,1740904041.28399800,984517
1637193600000,2021-11-18 00:00:00,ETH/USDT,4288.07000000,4344.81000000,3956.44000000,3996.90000000,576945.18370000,2387588164.85010800,1319866
1637107200000,2021-11-17 00:00:00,ETH/USDT,4209.59000000,4299.91000000,4063.48000000,4287.80000000,472852.18420000,1980248927.71123100,1146593
1637020800000,2021-11-16 00:00:00,ETH/USDT,4563.77000000,4563.77000000,4103.00000000,4209.76000000,735857.06300000,3163788841.06602100,1741259
1636934400000,2021-11-15 00:00:00,ETH/USDT,4626.50000000,4772.01000000,4540.00000000,4563.78000000,375421.66010000,1752738875.79192100,1061676
1636848000000,2021-11-14 00:00:00,ETH/USDT,4644.27000000,4696.05000000,4514.12000000,4626.50000000,245309.06740000,1126786539.40577800,623491
1636761600000,2021-11-13 00:00:00,ETH/USDT,4665.47000000,4707.60000000,4584.08000000,4644.28000000,220720.66110000,1026142451.54625200,731125
1636675200000,2021-11-12 00:00:00,ETH/USDT,4719.00000000,4809.71000000,4507.85000000,4665.46000000,461580.04150000,2146130116.87176700,1206412
1636588800000,2021-11-11 00:00:00,ETH/USDT,4628.68000000,4779.00000000,4576.47000000,4719.00000000,303688.97650000,1425610198.74241700,909164
1636502400000,2021-11-10 00:00:00,ETH/USDT,4732.33000000,4868.00000000,4461.93000000,4628.78000000,553596.99163000,2600175501.16048870,1492374
1636416000000,2021-11-09 00:00:00,ETH/USDT,4807.98000000,4838.28000000,4713.89000000,4732.33000000,311267.57998000,1489567265.66969130,995668
1636329600000,2021-11-08 00:00:00,ETH/USDT,4612.59000000,4822.97000000,4612.00000000,4807.98000000,391102.31806000,1850800839.69285740,1344244
1636243200000,2021-11-07 00:00:00,ETH/USDT,4518.00000000,4637.98000000,4502.37000000,4612.59000000,243596.59520000,1115635571.36518000,834745
1636156800000,2021-11-06 00:00:00,ETH/USDT,4474.24000000,4530.00000000,4326.17000000,4518.00000000,322154.09730000,1429791261.31952400,868676
